# u,v,base_x,base_y
5.610000000000000000e+02,5.980000000000000000e+02,5.396999999999999575e-01,-1.648999999999999910e-01
5.480000000000000000e+02,4.170000000000000000e+02,3.911999999999999922e-01,-1.781999999999999973e-01
9.050000000000000000e+02,6.620000000000000000e+02,5.644000000000000128e-01,6.800000000000000488e-02
1.016000000000000000e+03,2.100000000000000000e+02,2.389999999999999902e-01,1.670000000000000095e-01
7.170000000000000000e+02,4.320000000000000000e+02,4.074999999999999734e-01,-6.130000000000000032e-02
